,PRODUCTO,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MIN
3801,Camote morado,2.9,Tuberculos,KILOGRAMO
3802,Platano bellaco,3.15,Frutas,LITRO
3803,Carne de porcino (corte unico),20.1,Carnes y huevos,KILOGRAMO
3804,Leche fresca,11.0,Agro-industriales,LITRO
3805,Papa amarilla,5.2,Tuberculos,KILOGRAMO
3806,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
3807,Aji rocoto,4.5,Hortalizas,KILOGRAMO
3808,Uva alfonso lavalett,7.95,Frutas,KILOGRAMO
3809,Aji escabeche,3.65,Hortalizas,MALLA
3810,Tomate,4.95,Hortalizas,KILOGRAMO
3811,Frijol castilla,8.6,Menestras,KILOGRAMO
3812,Sandia,2.3,Frutas,KILOGRAMO
3813,Frijol canario,11.75,Menestras,KILOGRAMO
3814,Carne fresca de vacuno,23.5,Carnes y huevos,KILOGRAMO
3815,Haba verde serrana,6.15,Legumbres,KILOGRAMO
3816,Garbanzo,12.0,Menestras,KILOGRAMO
3817,Arroz extra,4.45,Cereales,KILOGRAMO
3818,Pallar,10.45,Menestras,KILOGRAMO
3819,Mango edward,8.0,Frutas,KILOGRAMO
3820,Pina criolla,3.05,Frutas,KILOGRAMO
3821,Zapallo macre,3.4,Hortalizas,KILOGRAMO
3822,Olluco largo,5.05,Tuberculos,KILOGRAMO
3823,Yuca blanca,4.45,Tuberculos,KILOGRAMO
3824,Palta fuerte,9.0,Frutas,KILOGRAMO
3825,Azucar rubia nacional (granel),4.75,Agro-industriales,KILOGRAMO
3826,Choclo (tipo cusco),10.2,Cereales,UNIDAD
3827,Azucar blanca nacional (granel),5.4,Agro-industriales,KILOGRAMO
3828,Papaya,1.9,Frutas,KILOGRAMO
3829,Leche evaporada (azul) 400 g,3.65,Agro-industriales,LATA
3830,Manzana israel,4.8,Frutas,KILOGRAMO
3831,Chirimoya cumbe,10.75,Frutas,KILOGRAMO
3832,Arroz superior,3.65,Cereales,KILOGRAMO
3833,Fideos nicolini tallarin,6.3,Agro-industriales,KILOGRAMO
3834,Manzana delicia,6.45,Frutas,KILOGRAMO
3835,Zanahoria,4.45,Hortalizas,KILOGRAMO
3836,Melocoton durazno huayco,8.9,Frutas,KILOGRAMO
3837,Arveja verde blanca serrana,6.4,Legumbres,KILOGRAMO
3838,Uva italia,11.05,Frutas,KILOGRAMO
3839,Papa canchan,3.05,Tuberculos,KILOGRAMO
3840,Ajo criollo o napuri,19.5,Hortalizas,KILOGRAMO
3841,Melon coquito,3.75,Frutas,KILOGRAMO
3842,Aceite clasico botella 900 ml,12.44,Agro-industriales,LITRO
3843,Cebolla cabeza roja,3.75,Hortalizas,KILOGRAMO
3844,Camote morado,3.75,Tuberculos,KILOGRAMO
3845,Platano bellaco,3.4,Frutas,LITRO
3846,Carne de porcino (corte unico),18.85,Carnes y huevos,KILOGRAMO
3847,Leche fresca,9.9,Agro-industriales,LITRO
3848,Papa amarilla,5.6,Tuberculos,KILOGRAMO
3849,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
3850,Aji rocoto,4.6,Hortalizas,KILOGRAMO
3851,Uva alfonso lavalett,7.95,Frutas,KILOGRAMO
3852,Aji escabeche,3.65,Hortalizas,MALLA
3853,Tomate,4.9,Hortalizas,KILOGRAMO
3854,Frijol castilla,8.5,Menestras,KILOGRAMO
3855,Sandia,3.45,Frutas,KILOGRAMO
3856,Frijol canario,11.75,Menestras,KILOGRAMO
3857,Carne fresca de vacuno,22.25,Carnes y huevos,KILOGRAMO
3858,Haba verde serrana,6.05,Legumbres,KILOGRAMO
3859,Garbanzo,12.15,Menestras,KILOGRAMO
3860,Lenteja,9.8,Menestras,KILOGRAMO
3861,Uva red globe,6.35,Frutas,KILOGRAMO
3862,Huevos rosados,10.35,Carnes y huevos,KILOGRAMO
3863,Naranja valencia,1.9,Frutas,KILOGRAMO
3864,Limon sutil bolsa,5.0,Frutas,KILOGRAMO
3865,Platano seda congo,3.6,Frutas,KILOGRAMO
3866,Vainita americana,6.05,Legumbres,KILOGRAMO
3867,Azucar rubia nacional (granel),4.85,Agro-industriales,KILOGRAMO
3868,Choclo (tipo cusco),10.15,Cereales,UNIDAD
3869,Azucar blanca nacional (granel),5.35,Agro-industriales,KILOGRAMO
3870,Papaya,1.9,Frutas,KILOGRAMO
3871,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
3872,Manzana israel,5.05,Frutas,KILOGRAMO
3873,Chirimoya cumbe,11.5,Frutas,KILOGRAMO
3874,Arroz superior,3.55,Cereales,KILOGRAMO
3875,Fideos nicolini tallarin,6.3,Agro-industriales,KILOGRAMO
3876,Manzana delicia,6.5,Frutas,KILOGRAMO
3877,Zanahoria,4.45,Hortalizas,KILOGRAMO
3878,Melocoton durazno huayco,8.85,Frutas,KILOGRAMO
3879,Arveja verde blanca serrana,6.4,Legumbres,KILOGRAMO
3880,Uva italia,9.35,Frutas,KILOGRAMO
3881,Papa canchan,2.95,Tuberculos,KILOGRAMO
3882,Ajo criollo o napuri,19.5,Hortalizas,KILOGRAMO
3883,Melon coquito,3.75,Frutas,KILOGRAMO
3884,Cebolla cabeza roja,4.05,Hortalizas,KILOGRAMO
3885,Camote morado,3.75,Tuberculos,KILOGRAMO
3886,Platano bellaco,3.45,Frutas,LITRO
3887,Carne de porcino (corte unico),19.5,Carnes y huevos,KILOGRAMO
3888,Leche fresca,8.9,Agro-industriales,LITRO
3889,Papa amarilla,5.65,Tuberculos,KILOGRAMO
3890,Aceite clasico botella 900 ml,12.61,Agro-industriales,LITRO
3891,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
3892,Aji rocoto,4.4,Hortalizas,KILOGRAMO
3893,Uva alfonso lavalett,8.15,Frutas,KILOGRAMO
3894,Aji escabeche,4.8,Hortalizas,MALLA
3895,Tomate,4.95,Hortalizas,KILOGRAMO
3896,Frijol castilla,8.6,Menestras,KILOGRAMO
3897,Sandia,3.45,Frutas,KILOGRAMO
3898,Frijol canario,11.75,Menestras,KILOGRAMO
3899,Carne fresca de vacuno,22.5,Carnes y huevos,KILOGRAMO
3900,Haba verde serrana,7.0,Legumbres,KILOGRAMO
3901,Garbanzo,12.15,Menestras,KILOGRAMO
3902,Lenteja,9.85,Menestras,KILOGRAMO
3903,Uva red globe,6.35,Frutas,KILOGRAMO
3904,Huevos rosados,9.3,Carnes y huevos,KILOGRAMO
3905,Naranja valencia,2.2,Frutas,KILOGRAMO
3906,Limon sutil bolsa,4.8,Frutas,KILOGRAMO
3907,Platano seda congo,3.55,Frutas,KILOGRAMO
3908,Vainita americana,6.0,Legumbres,KILOGRAMO
3909,Pallar,10.5,Menestras,KILOGRAMO
3910,Mango edward,8.0,Frutas,KILOGRAMO
3911,Pina criolla,3.05,Frutas,KILOGRAMO
3912,Zapallo macre,3.4,Hortalizas,KILOGRAMO
3913,Olluco largo,4.9,Tuberculos,KILOGRAMO
3914,Yuca blanca,4.4,Tuberculos,KILOGRAMO
3915,Palta fuerte,8.9,Frutas,KILOGRAMO
3916,Arroz extra,4.45,Cereales,KILOGRAMO
3917,Zanahoria,4.35,Hortalizas,KILOGRAMO
3918,Melocoton durazno huayco,8.85,Frutas,KILOGRAMO
3919,Arveja verde blanca serrana,6.4,Legumbres,KILOGRAMO
3920,Uva italia,11.25,Frutas,KILOGRAMO
3921,Papa canchan,2.95,Tuberculos,KILOGRAMO
3922,Ajo criollo o napuri,21.0,Hortalizas,KILOGRAMO
3923,Melon coquito,3.7,Frutas,KILOGRAMO
3924,Cebolla cabeza roja,4.3,Hortalizas,KILOGRAMO
3925,Camote morado,3.0,Tuberculos,KILOGRAMO
3926,Platano bellaco,3.45,Frutas,LITRO
3927,Carne de porcino (corte unico),19.5,Carnes y huevos,KILOGRAMO
3928,Leche fresca,9.9,Agro-industriales,LITRO
3929,Papa amarilla,5.65,Tuberculos,KILOGRAMO
3930,Aceite clasico botella 900 ml,12.61,Agro-industriales,LITRO
3931,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
3932,Aji rocoto,4.4,Hortalizas,KILOGRAMO
3933,Uva alfonso lavalett,8.15,Frutas,KILOGRAMO
3934,Aji escabeche,5.35,Hortalizas,MALLA
3935,Tomate,4.95,Hortalizas,KILOGRAMO
3936,Frijol castilla,10.85,Menestras,KILOGRAMO
3937,Sandia,3.45,Frutas,KILOGRAMO
3938,Frijol canario,11.6,Menestras,KILOGRAMO
3939,Carne fresca de vacuno,20.5,Carnes y huevos,KILOGRAMO
3940,Haba verde serrana,7.1,Legumbres,KILOGRAMO
3941,Garbanzo,12.15,Menestras,KILOGRAMO
3942,Uva red globe,6.1,Frutas,KILOGRAMO
3943,Huevos rosados,10.35,Carnes y huevos,KILOGRAMO
3944,Naranja valencia,1.9,Frutas,KILOGRAMO
3945,Limon sutil bolsa,5.9,Frutas,KILOGRAMO
3946,Platano seda congo,3.35,Frutas,KILOGRAMO
3947,Vainita americana,6.0,Legumbres,KILOGRAMO
3948,Lenteja,9.85,Menestras,KILOGRAMO
3949,Pallar,10.5,Menestras,KILOGRAMO
3950,Pina criolla,3.0,Frutas,KILOGRAMO
3951,Zapallo macre,3.4,Hortalizas,KILOGRAMO
3952,Olluco largo,5.1,Tuberculos,KILOGRAMO
3953,Yuca blanca,4.4,Tuberculos,KILOGRAMO
3954,Palta fuerte,8.55,Frutas,KILOGRAMO
3955,Arroz extra,4.45,Cereales,KILOGRAMO
3956,Azucar rubia nacional (granel),5.6,Agro-industriales,KILOGRAMO
3957,Choclo (tipo cusco),10.2,Cereales,UNIDAD
3958,Azucar blanca nacional (granel),6.25,Agro-industriales,KILOGRAMO
3959,Papaya,1.9,Frutas,KILOGRAMO
3960,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
3961,Manzana israel,5.05,Frutas,KILOGRAMO
3962,Chirimoya cumbe,11.5,Frutas,KILOGRAMO
3963,Arroz superior,3.55,Cereales,KILOGRAMO
3964,Fideos nicolini tallarin,6.3,Agro-industriales,KILOGRAMO
3965,Manzana delicia,6.5,Frutas,KILOGRAMO
3966,Cebolla cabeza roja,4.3,Hortalizas,KILOGRAMO
3967,Camote morado,3.0,Tuberculos,KILOGRAMO
3968,Platano bellaco,3.45,Frutas,LITRO
3969,Carne de porcino (corte unico),19.5,Carnes y huevos,KILOGRAMO
3970,Leche fresca,9.35,Agro-industriales,LITRO
3971,Papa amarilla,6.0,Tuberculos,KILOGRAMO
3972,Aceite clasico botella 900 ml,12.61,Agro-industriales,LITRO
3973,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
3974,Aji rocoto,5.15,Hortalizas,KILOGRAMO
3975,Uva alfonso lavalett,9.05,Frutas,KILOGRAMO
3976,Aji escabeche,5.0,Hortalizas,MALLA
3977,Tomate,5.15,Hortalizas,KILOGRAMO
3978,Frijol castilla,11.0,Menestras,KILOGRAMO
3979,Sandia,3.55,Frutas,KILOGRAMO
3980,Frijol canario,11.65,Menestras,KILOGRAMO
3981,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
3982,Haba verde serrana,7.2,Legumbres,KILOGRAMO
3983,Garbanzo,12.15,Menestras,KILOGRAMO
3984,Uva red globe,7.2,Frutas,KILOGRAMO
3985,Huevos rosados,10.25,Carnes y huevos,KILOGRAMO
3986,Naranja valencia,1.9,Frutas,KILOGRAMO
3987,Limon sutil bolsa,5.45,Frutas,KILOGRAMO
3988,Platano seda congo,3.35,Frutas,KILOGRAMO
3989,Vainita americana,6.0,Legumbres,KILOGRAMO
3990,Lenteja,9.85,Menestras,KILOGRAMO
3991,Pina criolla,3.45,Frutas,KILOGRAMO
3992,Zapallo macre,3.4,Hortalizas,KILOGRAMO
3993,Olluco largo,5.05,Tuberculos,KILOGRAMO
3994,Yuca blanca,4.4,Tuberculos,KILOGRAMO
3995,Palta fuerte,8.35,Frutas,KILOGRAMO
3996,Arroz extra,4.55,Cereales,KILOGRAMO
3997,Pallar,10.5,Menestras,KILOGRAMO
3998,Azucar rubia nacional (granel),5.6,Agro-industriales,KILOGRAMO
3999,Choclo (tipo cusco),10.25,Cereales,UNIDAD
4000,Melocoton durazno huayco,9.15,Frutas,KILOGRAMO
4001,Azucar blanca nacional (granel),6.7,Agro-industriales,KILOGRAMO
4002,Papaya,3.9,Frutas,KILOGRAMO
4003,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
4004,Manzana israel,5.05,Frutas,KILOGRAMO
4005,Chirimoya cumbe,11.5,Frutas,KILOGRAMO
4006,Arroz superior,3.6,Cereales,KILOGRAMO
4007,Fideos nicolini tallarin,6.5,Agro-industriales,KILOGRAMO
4008,Manzana delicia,6.55,Frutas,KILOGRAMO
4009,Zanahoria,4.35,Hortalizas,KILOGRAMO
4010,Arveja verde blanca serrana,6.25,Legumbres,KILOGRAMO
4011,Uva italia,11.25,Frutas,KILOGRAMO
4012,Papa canchan,2.95,Tuberculos,KILOGRAMO
4013,Ajo criollo o napuri,23.5,Hortalizas,KILOGRAMO
4014,Melon coquito,3.65,Frutas,KILOGRAMO
4015,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
4016,Aji rocoto,5.15,Hortalizas,KILOGRAMO
4017,Uva alfonso lavalett,9.0,Frutas,KILOGRAMO
4018,Aji escabeche,4.9,Hortalizas,MALLA
4019,Tomate,5.1,Hortalizas,KILOGRAMO
4020,Frijol castilla,10.9,Menestras,KILOGRAMO
4021,Sandia,3.55,Frutas,KILOGRAMO
4022,Frijol canario,11.65,Menestras,KILOGRAMO
4023,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
4024,Haba verde serrana,7.35,Legumbres,KILOGRAMO
4025,Garbanzo,12.15,Menestras,KILOGRAMO
4026,Uva red globe,6.95,Frutas,KILOGRAMO
4027,Huevos rosados,10.25,Carnes y huevos,KILOGRAMO
4028,Naranja valencia,6.0,Frutas,KILOGRAMO
4029,Limon sutil bolsa,5.25,Frutas,KILOGRAMO
4030,Platano seda congo,3.35,Frutas,KILOGRAMO
4031,Vainita americana,5.85,Legumbres,KILOGRAMO
4032,Lenteja,9.85,Menestras,KILOGRAMO
4033,Pina criolla,3.45,Frutas,KILOGRAMO
4034,Zapallo macre,3.4,Hortalizas,KILOGRAMO
4035,Olluco largo,5.05,Tuberculos,KILOGRAMO
4036,Yuca blanca,4.4,Tuberculos,KILOGRAMO
4037,Palta fuerte,8.35,Frutas,KILOGRAMO
4038,Arroz extra,4.4,Cereales,KILOGRAMO
4039,Pallar,10.5,Menestras,KILOGRAMO
4040,Azucar rubia nacional (granel),5.4,Agro-industriales,KILOGRAMO
4041,Choclo (tipo cusco),10.5,Cereales,UNIDAD
4042,Melocoton durazno huayco,9.0,Frutas,KILOGRAMO
4043,Azucar blanca nacional (granel),6.45,Agro-industriales,KILOGRAMO
4044,Papaya,3.8,Frutas,KILOGRAMO
4045,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
4046,Manzana israel,5.05,Frutas,KILOGRAMO
4047,Chirimoya cumbe,11.5,Frutas,KILOGRAMO
4048,Arroz superior,3.6,Cereales,KILOGRAMO
4049,Fideos nicolini tallarin,6.5,Agro-industriales,KILOGRAMO
4050,Manzana delicia,6.55,Frutas,KILOGRAMO
4051,Camote morado,3.0,Tuberculos,KILOGRAMO
4052,Zanahoria,4.35,Hortalizas,KILOGRAMO
4053,Arveja verde blanca serrana,6.25,Legumbres,KILOGRAMO
4054,Uva italia,11.25,Frutas,KILOGRAMO
4055,Papa canchan,2.95,Tuberculos,KILOGRAMO
4056,Ajo criollo o napuri,22.5,Hortalizas,KILOGRAMO
4057,Melon coquito,3.55,Frutas,KILOGRAMO
4058,Cebolla cabeza roja,4.3,Hortalizas,KILOGRAMO
4059,Platano bellaco,3.4,Frutas,LITRO
4060,Carne de porcino (corte unico),19.5,Carnes y huevos,KILOGRAMO
4061,Leche fresca,9.35,Agro-industriales,LITRO
4062,Papa amarilla,5.9,Tuberculos,KILOGRAMO
4063,Aceite clasico botella 900 ml,12.44,Agro-industriales,LITRO
4064,Tomate,5.5,Hortalizas,KILOGRAMO
4065,Frijol castilla,10.9,Menestras,KILOGRAMO
4066,Sandia,3.45,Frutas,KILOGRAMO
4067,Frijol canario,11.65,Menestras,KILOGRAMO
4068,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
4069,Haba verde serrana,7.35,Legumbres,KILOGRAMO
4070,Garbanzo,12.15,Menestras,KILOGRAMO
4071,Uva red globe,6.95,Frutas,KILOGRAMO
4072,Huevos rosados,10.25,Carnes y huevos,KILOGRAMO
4073,Naranja valencia,6.0,Frutas,KILOGRAMO
4074,Limon sutil bolsa,6.65,Frutas,KILOGRAMO
4075,Platano seda congo,3.45,Frutas,KILOGRAMO
4076,Vainita americana,5.85,Legumbres,KILOGRAMO
4077,Lenteja,7.5,Menestras,KILOGRAMO
4078,Pina criolla,3.45,Frutas,KILOGRAMO
4079,Zapallo macre,3.65,Hortalizas,KILOGRAMO
4080,Olluco largo,5.05,Tuberculos,KILOGRAMO
4081,Yuca blanca,4.4,Tuberculos,KILOGRAMO
4082,Palta fuerte,8.35,Frutas,KILOGRAMO
4083,Arroz extra,4.4,Cereales,KILOGRAMO
4084,Pallar,10.5,Menestras,KILOGRAMO
4085,Azucar rubia nacional (granel),5.4,Agro-industriales,KILOGRAMO
4086,Choclo (tipo cusco),10.5,Cereales,UNIDAD
4087,Melocoton durazno huayco,9.15,Frutas,KILOGRAMO
4088,Azucar blanca nacional (granel),6.45,Agro-industriales,KILOGRAMO
4089,Papaya,3.9,Frutas,KILOGRAMO
4090,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
4091,Manzana israel,5.05,Frutas,KILOGRAMO
4092,Chirimoya cumbe,11.5,Frutas,KILOGRAMO
4093,Arroz superior,3.75,Cereales,KILOGRAMO
4094,Fideos nicolini tallarin,6.5,Agro-industriales,KILOGRAMO
4095,Manzana delicia,6.5,Frutas,KILOGRAMO
4096,Camote morado,2.9,Tuberculos,KILOGRAMO
4097,Zanahoria,4.35,Hortalizas,KILOGRAMO
4098,Arveja verde blanca serrana,6.25,Legumbres,KILOGRAMO
4099,Uva italia,11.25,Frutas,KILOGRAMO
4100,Papa canchan,2.95,Tuberculos,KILOGRAMO
4101,Ajo criollo o napuri,23.5,Hortalizas,KILOGRAMO
4102,Melon coquito,4.15,Frutas,KILOGRAMO
4103,Cebolla cabeza roja,5.6,Hortalizas,KILOGRAMO
4104,Platano bellaco,3.4,Frutas,LITRO
4105,Carne de porcino (corte unico),19.5,Carnes y huevos,KILOGRAMO
4106,Leche fresca,9.35,Agro-industriales,LITRO
4107,Papa amarilla,6.55,Tuberculos,KILOGRAMO
4108,Aceite clasico botella 900 ml,12.44,Agro-industriales,LITRO
4109,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
4110,Aji rocoto,5.15,Hortalizas,KILOGRAMO
4111,Uva alfonso lavalett,9.0,Frutas,KILOGRAMO
4112,Aji escabeche,4.9,Hortalizas,MALLA
4113,Haba verde serrana,7.2,Legumbres,KILOGRAMO
4114,Garbanzo,12.15,Menestras,KILOGRAMO
4115,Uva red globe,6.75,Frutas,KILOGRAMO
4116,Huevos rosados,10.25,Carnes y huevos,KILOGRAMO
4117,Naranja valencia,5.85,Frutas,KILOGRAMO
4118,Limon sutil bolsa,5.75,Frutas,KILOGRAMO
4119,Platano seda congo,3.45,Frutas,KILOGRAMO
4120,Vainita americana,5.8,Legumbres,KILOGRAMO
4121,Lenteja,7.5,Menestras,KILOGRAMO
4122,Pina criolla,3.45,Frutas,KILOGRAMO
4123,Zapallo macre,3.4,Hortalizas,KILOGRAMO
4124,Olluco largo,5.05,Tuberculos,KILOGRAMO
4125,Yuca blanca,4.4,Tuberculos,KILOGRAMO
4126,Palta fuerte,8.35,Frutas,KILOGRAMO
4127,Arroz extra,4.4,Cereales,KILOGRAMO
4128,Pallar,10.5,Menestras,KILOGRAMO
4129,Azucar rubia nacional (granel),5.25,Agro-industriales,KILOGRAMO
4130,Choclo (tipo cusco),9.75,Cereales,UNIDAD
4131,Melocoton durazno huayco,9.0,Frutas,KILOGRAMO
4132,Azucar blanca nacional (granel),6.45,Agro-industriales,KILOGRAMO
4133,Papaya,3.9,Frutas,KILOGRAMO
4134,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
4135,Manzana israel,5.05,Frutas,KILOGRAMO
4136,Chirimoya cumbe,11.5,Frutas,KILOGRAMO
4137,Arroz superior,3.7,Cereales,KILOGRAMO
4138,Fideos nicolini tallarin,6.5,Agro-industriales,KILOGRAMO
4139,Manzana delicia,6.1,Frutas,KILOGRAMO
4140,Camote morado,2.9,Tuberculos,KILOGRAMO
4141,Zanahoria,4.35,Hortalizas,KILOGRAMO
4142,Arveja verde blanca serrana,5.8,Legumbres,KILOGRAMO
4143,Uva italia,11.25,Frutas,KILOGRAMO
4144,Papa canchan,2.95,Tuberculos,KILOGRAMO
4145,Ajo criollo o napuri,18.0,Hortalizas,KILOGRAMO
4146,Melon coquito,4.15,Frutas,KILOGRAMO
4147,Platano bellaco,3.35,Frutas,LITRO
4148,Carne de porcino (corte unico),18.75,Carnes y huevos,KILOGRAMO
4149,Leche fresca,9.35,Agro-industriales,LITRO
4150,Papa amarilla,6.35,Tuberculos,KILOGRAMO
4151,Aceite clasico botella 900 ml,12.44,Agro-industriales,LITRO
4152,Cebolla cabeza roja,5.4,Hortalizas,KILOGRAMO
4153,Carne de pollo (eviscerado),10.65,Carnes y huevos,KILOGRAMO
4154,Aji rocoto,5.15,Hortalizas,KILOGRAMO
4155,Uva alfonso lavalett,8.75,Frutas,KILOGRAMO
4156,Aji escabeche,4.9,Hortalizas,MALLA
4157,Tomate,5.5,Hortalizas,KILOGRAMO
4158,Frijol castilla,10.85,Menestras,KILOGRAMO
4159,Sandia,3.45,Frutas,KILOGRAMO
4160,Frijol canario,11.65,Menestras,KILOGRAMO
4161,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
4162,Huevos rosados,9.5,Carnes y huevos,KILOGRAMO
4163,Naranja valencia,5.85,Frutas,KILOGRAMO
4164,Limon sutil bolsa,4.87,Frutas,KILOGRAMO
4165,Platano seda congo,3.45,Frutas,KILOGRAMO
4166,Vainita americana,5.75,Legumbres,KILOGRAMO
4167,Lenteja,7.55,Menestras,KILOGRAMO
4168,Pina criolla,3.45,Frutas,KILOGRAMO
4169,Zapallo macre,3.4,Hortalizas,KILOGRAMO
4170,Olluco largo,5.3,Tuberculos,KILOGRAMO
4171,Yuca blanca,4.0,Tuberculos,KILOGRAMO
4172,Palta fuerte,8.4,Frutas,KILOGRAMO
4173,Arroz extra,4.4,Cereales,KILOGRAMO
4174,Pallar,10.5,Menestras,KILOGRAMO
4175,Azucar rubia nacional (granel),5.25,Agro-industriales,KILOGRAMO
4176,Choclo (tipo cusco),9.75,Cereales,UNIDAD
4177,Melocoton durazno huayco,9.0,Frutas,KILOGRAMO
4178,Azucar blanca nacional (granel),6.45,Agro-industriales,KILOGRAMO
4179,Papaya,3.9,Frutas,KILOGRAMO
4180,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
4181,Manzana israel,5.05,Frutas,KILOGRAMO
4182,Chirimoya cumbe,11.0,Frutas,KILOGRAMO
4183,Arroz superior,3.7,Cereales,KILOGRAMO
4184,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
4185,Manzana delicia,6.1,Frutas,KILOGRAMO
4186,Camote morado,3.55,Tuberculos,KILOGRAMO
4187,Zanahoria,4.45,Hortalizas,KILOGRAMO
4188,Arveja verde blanca serrana,5.8,Legumbres,KILOGRAMO
4189,Papa canchan,2.85,Tuberculos,KILOGRAMO
4190,Ajo criollo o napuri,15.3,Hortalizas,KILOGRAMO
4191,Melon coquito,4.1,Frutas,KILOGRAMO
4192,Platano bellaco,3.25,Frutas,LITRO
4193,Carne de porcino (corte unico),18.75,Carnes y huevos,KILOGRAMO
4194,Leche fresca,9.35,Agro-industriales,LITRO
4195,Papa amarilla,6.25,Tuberculos,KILOGRAMO
4196,Aceite clasico botella 900 ml,12.44,Agro-industriales,LITRO
4197,Cebolla cabeza roja,4.61,Hortalizas,KILOGRAMO
4198,Carne de pollo (eviscerado),10.5,Carnes y huevos,KILOGRAMO
4199,Aji rocoto,4.8,Hortalizas,KILOGRAMO
4200,Uva alfonso lavalett,8.5,Frutas,KILOGRAMO
4201,Aji escabeche,4.9,Hortalizas,MALLA
4202,Tomate,5.15,Hortalizas,KILOGRAMO
4203,Frijol castilla,9.15,Menestras,KILOGRAMO
4204,Frijol canario,11.65,Menestras,KILOGRAMO
4205,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
4206,Haba verde serrana,7.2,Legumbres,KILOGRAMO
4207,Garbanzo,11.9,Menestras,KILOGRAMO
4208,Pina criolla,3.45,Frutas,KILOGRAMO
4209,Zapallo macre,3.4,Hortalizas,KILOGRAMO
4210,Olluco largo,5.3,Tuberculos,KILOGRAMO
4211,Yuca blanca,4.0,Tuberculos,KILOGRAMO
4212,Palta fuerte,8.4,Frutas,KILOGRAMO
4213,Arroz extra,4.4,Cereales,KILOGRAMO
4214,Pallar,10.5,Menestras,KILOGRAMO
4215,Azucar rubia nacional (granel),5.25,Agro-industriales,KILOGRAMO
4216,Choclo (tipo cusco),9.75,Cereales,UNIDAD
4217,Melocoton durazno huayco,9.0,Frutas,KILOGRAMO
4218,Azucar blanca nacional (granel),6.45,Agro-industriales,KILOGRAMO
4219,Papaya,3.9,Frutas,KILOGRAMO
4220,Leche evaporada (azul) 400 g,3.55,Agro-industriales,LATA
4221,Manzana israel,5.05,Frutas,KILOGRAMO
4222,Chirimoya cumbe,11.0,Frutas,KILOGRAMO
4223,Arroz superior,3.7,Cereales,KILOGRAMO
4224,Fideos nicolini tallarin,6.45,Agro-industriales,KILOGRAMO
4225,Manzana delicia,6.1,Frutas,KILOGRAMO
4226,Camote morado,3.55,Tuberculos,KILOGRAMO
4227,Zanahoria,4.45,Hortalizas,KILOGRAMO
4228,Arveja verde blanca serrana,5.8,Legumbres,KILOGRAMO
4229,Papa canchan,2.85,Tuberculos,KILOGRAMO
4230,Ajo criollo o napuri,15.3,Hortalizas,KILOGRAMO
4231,Melon coquito,4.1,Frutas,KILOGRAMO
4232,Platano bellaco,3.25,Frutas,LITRO
4233,Carne de porcino (corte unico),18.75,Carnes y huevos,KILOGRAMO
4234,Leche fresca,9.35,Agro-industriales,LITRO
4235,Papa amarilla,6.25,Tuberculos,KILOGRAMO
4236,Aceite clasico botella 900 ml,12.44,Agro-industriales,LITRO
4237,Cebolla cabeza roja,4.61,Hortalizas,KILOGRAMO
4238,Carne de pollo (eviscerado),10.5,Carnes y huevos,KILOGRAMO
4239,Aji rocoto,4.8,Hortalizas,KILOGRAMO
4240,Uva alfonso lavalett,8.5,Frutas,KILOGRAMO
4241,Aji escabeche,4.9,Hortalizas,MALLA
4242,Tomate,5.15,Hortalizas,KILOGRAMO
4243,Frijol castilla,9.15,Menestras,KILOGRAMO
4244,Frijol canario,11.65,Menestras,KILOGRAMO
4245,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
4246,Huevos rosados,9.5,Carnes y huevos,KILOGRAMO
4247,Haba verde serrana,7.2,Legumbres,KILOGRAMO
4248,Garbanzo,11.9,Menestras,KILOGRAMO
4249,Naranja valencia,5.85,Frutas,KILOGRAMO
4250,Limon sutil bolsa,4.87,Frutas,KILOGRAMO
4251,Platano seda congo,3.45,Frutas,KILOGRAMO
4252,Vainita americana,5.75,Legumbres,KILOGRAMO
4253,Lenteja,7.55,Menestras,KILOGRAMO
